Age,Hours_Per_Week,Work_Life_Balance_Score,Average_Salary,Social_Isolation_Score,Burnout_Level,Physical_Issue_Count,Gender_Female,Work_Arrangement_Onsite,Industry_Professional Services,Work_Arrangement_Hybrid,Region_South America,Industry_Technology,Region_Africa,Region_Europe
27,64,3,50.0,2,0,2,1.0,1.0,True,0.0,0.0,False,0.0,0.0
37,37,4,90.0,2,0,1,1.0,1.0,True,0.0,0.0,False,0.0,0.0
32,36,3,90.0,2,0,2,1.0,1.0,False,0.0,0.0,False,1.0,0.0
40,63,1,70.0,2,2,2,1.0,1.0,False,0.0,0.0,False,0.0,1.0
52,61,4,70.0,3,2,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
63,55,3,110.0,2,0,2,0.0,1.0,True,0.0,0.0,False,0.0,1.0
30,47,2,70.0,4,2,1,1.0,0.0,False,0.0,1.0,True,0.0,0.0
37,55,5,70.0,1,2,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
64,35,3,50.0,4,2,2,0.0,0.0,False,0.0,0.0,True,0.0,0.0
25,57,2,90.0,1,0,2,1.0,0.0,False,1.0,0.0,True,0.0,0.0
37,59,5,70.0,5,0,3,0.0,0.0,False,0.0,0.0,False,0.0,1.0
50,64,1,70.0,4,2,1,0.0,0.0,True,0.0,0.0,False,0.0,1.0
42,54,5,120.0,2,0,3,1.0,1.0,False,0.0,1.0,False,0.0,0.0
30,36,3,70.0,2,0,1,0.0,0.0,True,1.0,0.0,False,0.0,0.0
50,51,4,110.0,5,1,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
36,41,5,110.0,3,0,3,1.0,0.0,False,0.0,0.0,False,1.0,0.0
57,57,3,70.0,3,0,2,0.0,1.0,False,0.0,0.0,False,1.0,0.0
37,58,1,70.0,5,0,1,0.0,0.0,False,0.0,1.0,False,0.0,0.0
26,59,2,50.0,5,2,2,1.0,0.0,False,1.0,1.0,False,0.0,0.0
55,51,4,90.0,4,0,1,0.0,1.0,True,0.0,0.0,False,1.0,0.0
59,53,3,70.0,1,2,3,0.0,1.0,False,0.0,0.0,False,1.0,0.0
59,45,2,90.0,3,0,4,0.0,0.0,False,0.0,0.0,False,0.0,0.0
23,63,3,70.0,2,2,2,0.0,1.0,True,0.0,0.0,False,0.0,0.0
57,41,3,120.0,3,2,3,1.0,0.0,False,0.0,0.0,False,0.0,0.0
59,48,3,70.0,3,0,1,0.0,1.0,False,0.0,1.0,False,0.0,0.0
22,47,4,70.0,1,0,1,1.0,0.0,False,1.0,0.0,False,0.0,0.0
25,49,3,110.0,2,1,4,0.0,1.0,True,0.0,0.0,False,1.0,0.0
27,44,3,90.0,3,2,3,0.0,1.0,False,0.0,0.0,False,0.0,1.0
47,50,3,50.0,4,0,1,1.0,1.0,True,0.0,0.0,False,0.0,1.0
39,59,5,70.0,2,1,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
62,60,4,120.0,5,2,2,1.0,0.0,False,0.0,0.0,False,0.0,0.0
42,43,3,70.0,4,1,2,0.0,0.0,False,0.0,0.0,True,0.0,1.0
26,65,2,70.0,1,0,2,0.0,0.0,False,1.0,1.0,False,0.0,0.0
31,42,2,110.0,4,0,3,1.0,0.0,False,1.0,0.0,True,1.0,0.0
42,60,3,70.0,3,0,3,1.0,1.0,False,0.0,1.0,False,0.0,0.0
65,61,4,50.0,1,1,4,1.0,1.0,False,0.0,0.0,False,0.0,1.0
40,62,4,70.0,2,2,2,0.0,0.0,True,0.0,0.0,False,0.0,0.0
22,64,1,90.0,3,2,1,1.0,0.0,False,1.0,0.0,False,0.0,0.0
58,65,3,90.0,4,2,1,0.0,0.0,False,1.0,0.0,True,0.0,0.0
51,60,2,90.0,3,1,2,1.0,0.0,False,1.0,0.0,False,0.0,1.0
62,46,1,110.0,4,0,3,1.0,0.0,False,0.0,0.0,True,1.0,0.0
50,42,4,50.0,1,0,3,0.0,1.0,False,0.0,1.0,True,0.0,0.0
41,45,5,50.0,3,0,2,1.0,0.0,False,1.0,0.0,False,0.0,0.0
25,65,3,90.0,2,0,1,1.0,1.0,False,0.0,0.0,False,0.0,0.0
29,38,4,90.0,3,0,2,0.0,1.0,False,0.0,0.0,False,0.0,0.0
53,56,1,90.0,2,0,2,1.0,1.0,False,0.0,0.0,False,0.0,0.0
48,56,3,90.0,3,1,1,1.0,0.0,True,0.0,0.0,False,0.0,0.0
49,56,3,70.0,2,2,4,0.0,0.0,True,1.0,0.0,False,0.0,0.0
49,45,2,90.0,2,1,2,1.0,1.0,False,0.0,0.0,False,1.0,0.0
